time,PE230501,PE204604,PE204619,PE204601,PE204603
1965-01-01,3.960000000000001,3.25047830662242,27.292722149556774,0.3082430061920545,0.59
1965-01-02,3.7800000000000007,3.1563630442238666,23.58509260424308,0.29005053888009874,0.59
1965-01-03,3.7800000000000007,2.9455612564588503,28.84550414620691,0.30312706333885986,0.59
1965-01-04,4.319999999999999,1.7839337117620562,89.201128932103,0.2990345389818467,0.59
1965-01-05,6.950000000000001,8.76386187059089,16.356781371911065,0.5889324346420979,0.59
1965-01-06,6.329999999999998,7.557113932238438,17.039013594291355,0.5110948769191294,0.6299999999999999
1965-01-07,4.860000000000002,4.922765201889039,18.99796544047144,0.37829487786364485,0.59
1965-01-08,4.5,4.337142851049255,19.602364578789636,0.36259962469294416,0.6299999999999999
1965-01-09,4.5,3.9307875978523548,29.541191513380472,0.3390626955570235,0.6699999999999999
1965-01-10,5.220000000000001,5.227034753978163,21.501463034046452,0.486254566924269,0.6699999999999999
1965-01-11,5.220000000000001,4.99085111122631,23.742242110712006,0.4224904918029622,0.6699999999999999
1965-01-12,4.860000000000002,4.521623185445937,22.122790176521946,0.37442366352414824,0.7100000000000001
1965-01-13,4.68,4.434760983866981,26.15075296202227,0.36528443818131984,0.6699999999999999
1965-01-14,5.709999999999999,6.271641880546877,19.51794758992601,0.4519404709489619,0.6699999999999999
1965-01-15,6.019999999999999,6.946487046343121,17.40594558893292,0.48225573629109303,0.6699999999999999
1965-01-16,5.220000000000001,5.5294616309775995,18.53901177847733,0.43540929539516254,0.7100000000000001
1965-01-17,4.68,4.62722722234579,19.29531500474043,0.3623682547587721,0.7499999999999999
1965-01-18,4.319999999999999,4.0527135749360665,20.035499383003803,0.36997966066263044,0.0
1965-01-19,4.68,4.322151928443485,22.628217598659365,0.3629133844400411,0.0
1965-01-20,4.68,4.664284828288328,19.258811271035484,0.36316658517252115,0.0
1965-01-21,4.5,4.337142851049255,19.601483933440683,0.35490932285512394,0.0
1965-01-22,4.319999999999999,4.0527135749360665,19.88109982373118,0.33073172692902597,0.0
1965-01-23,4.14,3.7741557197218216,20.20113199251422,0.3150140375739775,0.0
1965-01-24,3.7800000000000007,3.239299753525487,21.251605910153486,0.28383210268280945,0.0
1965-01-25,3.6000000000000005,2.7582680031763904,26.2835512824307,0.2801805902211029,0.0
1965-01-26,4.68,4.187771709922189,26.47670276973868,0.35233977696297564,0.0
1965-01-27,5.220000000000001,5.254092918264144,20.821230596944147,0.4045467279228924,0.0
1965-01-28,4.860000000000002,4.7535008035559665,20.900359060430258,0.37909619327687244,0.0
1965-01-29,4.68,4.5774069442951335,20.297546105625127,0.38773220655238544,0.0
1965-01-30,4.5,4.337142851049255,19.633220970390575,0.34648173342394234,0.0
1965-01-31,3.960000000000001,3.5017021348732453,20.53581885366067,0.29937048685865125,0.0
1965-02-01,3.1029999999999998,2.2966536902405306,22.37714235676589,0.2260414962815397,0.0
1965-02-02,2.580785215916775,1.6478307471371991,23.933590419958474,0.19297684656887856,0.0
1965-02-03,4.01,3.5767572640536986,20.442268104568036,0.30370672751315264,0.0
1965-02-04,2.5844240430866594,1.6034319322813821,25.119635356703085,0.19998607884974023,0.0
1965-02-05,4.007,3.259763964699367,27.28521270933439,0.3273616842119878,0.0
1965-02-06,3.6139577351210845,2.189897452894809,41.79006572083466,0.26124652650757296,0.0
1965-02-07,5.590000000000001,6.031489397707044,19.851134348318034,0.4710095908376418,0.0
1965-02-08,2.891560104762424,1.9170160166495045,24.9926294768478,0.20528627735966273,0.0
1965-02-09,2.8950516225321414,1.8434871081908901,30.538832214668226,0.2264026781122807,0.0
1965-02-10,3.79913454739013,2.340509534280467,44.71076663260173,0.28523597717345495,0.0
1965-02-11,2.8676080372926847,1.5606184718843017,36.23372482325899,0.21611199312212734,0.0
1965-02-12,3.160277881377253,1.9279148131352084,36.169074668783516,0.31477051810414564,0.0
1965-02-13,3.088221255683485,2.157249125424711,25.578694028663246,0.22320207724469812,0.0
1965-02-14,3.3913011413723675,1.3845656955462473,60.278780589177124,0.32651059172078034,0.0
1965-02-15,4.492602233768165,3.5958899244438167,38.060799942877246,0.40707323251537264,0.0
1965-02-16,20.494999999999994,34.66485531808819,24.771008006154414,2.028281873895824,0.0
1965-02-17,4.080868571512216,2.824746320559504,44.3021408729019,0.3271024285092329,0.0
1965-02-18,23.763,46.19134691181096,18.034226222445827,2.162006905732517,0.0
1965-02-19,5.107430191529905,4.327638979194595,32.72750799374001,0.41674231596142547,0.0
1965-02-20,33.54099999999998,73.34108689942072,10.408320541891607,3.1057326985502534,0.0
1965-02-21,2.6935512299969586,1.574483273172518,27.401221113537225,0.1888637425932524,0.0
1965-02-22,21.40500000000001,44.486558146590845,8.788094093231921,2.0716765637067915,0.0
1965-02-23,3.409049879038055,2.176028794231969,38.6168194936377,0.25421981230928425,0.0
1965-02-24,21.477999999999994,41.73147861911118,13.733085601699635,1.9939023397334497,0.0
1965-02-25,2.666920422501163,1.749827253450788,23.62625189920007,0.1957514173868317,0.0
1965-02-26,11.610000000000001,18.79287109289582,12.70111094018596,1.0056637014713583,0.0
1965-02-27,10.015,14.491776825104367,17.187351497495918,0.8883324426500249,0.0
1965-02-28,5.874614822436807,4.524114164500852,41.367535271292,0.5522142719057571,0.0
1965-03-01,36.667000000000016,63.66747671267643,34.11342444367828,3.618164809192352,0.0
1965-03-02,3.4541851072817726,2.460274497702123,28.693769835368077,0.24779356867372876,0.0
1965-03-03,37.934999999999995,92.61356091650993,6.70803092332797,3.629776762099494,0.0
